names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000167995,39.522453,35.89959,0.0,0.0
ENSG00000269968,38.81914,10.218922,0.0,0.0
ENSG00000170421,38.67698,19.998985,0.0,0.0
ENSG00000167645,38.485325,11.090563,0.0,0.0
ENSG00000259342,37.674854,11.0832815,1.28220493972893e-310,3.4528354354744854e-307
ENSG00000203865,36.77795,9.215975,4.1576244640520296e-296,1.00764186510765e-292
ENSG00000121905,35.578236,10.295436,3.041434473720451e-277,6.14268382542407e-274
ENSG00000286037,34.303448,7.5091195,6.970923281181505e-258,1.299594589559346e-254
ENSG00000198695,34.230892,20.785625,8.395077148648703e-257,1.4533077841046425e-253
ENSG00000259498,33.588856,7.1666756,2.4401813957119823e-247,3.9426824204317067e-244
ENSG00000162896,32.36644,6.4204335,8.145278775982682e-230,1.1612292730277428e-226
ENSG00000287967,31.784216,6.5907717,1.0696646701165653e-221,1.4402440524969488e-218
ENSG00000224281,30.683996,10.516826,9.30644007145989e-207,1.1277544078595095e-203
ENSG00000280416,30.312368,7.9064193,7.876693259262942e-202,9.090454182452222e-199
ENSG00000279035,27.875782,4.1234107,5.246868879209952e-171,5.780141552569654e-168
ENSG00000172803,27.569115,4.9002676,2.6112866959134084e-167,2.7516149722677115e-164
ENSG00000280064,27.367872,5.8607097,6.618172161911005e-165,6.683250854836463e-162
ENSG00000258017,27.078823,6.5161686,1.7488814751232734e-161,1.6302265935033715e-158
ENSG00000272734,27.05919,11.526162,2.977675416465961e-161,2.6728496812395937e-158
ENSG00000248223,26.256517,8.708939,6.0220607476005655e-152,5.032781526856804e-149
ENSG00000143164,26.183733,4.729501,4.071499264258077e-151,3.289228538951958e-148
ENSG00000181350,25.721424,5.5627203,6.732521115358822e-146,5.099043179744888e-143
ENSG00000161010,25.025528,3.805765,3.225048910342393e-138,2.2988907467958308e-135
ENSG00000169894,24.443403,5.8880033,5.914520254275652e-132,4.0955517966464197e-129
ENSG00000182472,24.387537,4.9056616,2.3189738663305394e-131,1.5611847395663042e-128
ENSG00000231160,24.358572,4.8303804,4.703317871867243e-131,3.0808003227722837e-128
ENSG00000261359,24.215822,5.3587766,1.5158119425131993e-129,9.667689010197341e-127
ENSG00000176472,24.065262,5.5532966,5.778752623785682e-128,3.591124322822302e-125
ENSG00000179818,23.927177,3.3673065,1.5971908942870153e-126,9.677379628485025e-124
ENSG00000258232,23.506626,5.476223,3.4895387681862795e-122,2.0627429655064066e-119
ENSG00000198763,22.965256,4.847107,1.0373967086509921e-116,5.587188140192321e-114
ENSG00000100413,22.532104,4.3644724,2.0117126176886887e-112,1.0599101522239795e-109
ENSG00000162194,22.514748,3.385265,2.976289159005749e-112,1.5347520012268793e-109
ENSG00000118855,22.351429,6.8706307,1.1694009195332447e-110,5.9045001428766074e-108
ENSG00000267815,22.347935,7.163256,1.2645705943550777e-110,6.2547210050591155e-108
ENSG00000260879,22.31738,4.4850526,2.505388795264581e-110,1.2144120568406477e-107
ENSG00000198804,21.915438,56.145706,1.851100812549738e-106,8.796721429991264e-104
ENSG00000269439,21.901327,3.4980884,2.523278167148057e-106,1.1760417242115446e-103
ENSG00000262413,21.622229,3.4779258,1.1098780375334231e-103,5.075283795784914e-101
ENSG00000198888,21.557457,5.763344,4.506962414800184e-103,2.022791501575875e-100
ENSG00000238045,20.776672,3.9310834,7.0370726104201005e-96,3.100918032475301e-93
ENSG00000152767,20.727894,4.695662,1.940995312801427e-95,8.400350428759891e-93
ENSG00000138092,20.674067,4.2385783,5.930224836017021e-95,2.521489984661553e-92
ENSG00000274993,20.49994,5.846091,2.1555662575075925e-93,9.007293761543795e-91
ENSG00000273763,20.460844,3.6992419,4.809870937533795e-93,1.975797153255408e-90
ENSG00000275944,19.957308,8.022762,1.295023905099509e-88,4.98193640698281e-86
ENSG00000289740,19.73534,104.95023,1.0722469527950458e-86,4.0604651793657385e-84
ENSG00000227617,19.54211,6.681402,4.815042851025307e-85,1.7953442851915283e-82
ENSG00000244383,19.267632,5.8913827,1.0042691734527694e-82,3.6877981345153515e-80
ENSG00000197774,18.687796,3.336373,6.223064444427677e-78,2.1858288387702781e-75
ENSG00000262831,18.610685,2.8698125,2.6323070687516156e-77,9.113799159752022e-75
ENSG00000099974,18.336197,2.776921,4.255510168324976e-75,1.4526273864721707e-72
ENSG00000289100,18.278154,2.316037,1.2353686992760344e-74,4.1583883049519403e-72
ENSG00000261385,18.237593,6.309406,2.596467473484053e-74,8.620272011967055e-72
ENSG00000233041,18.16065,4.142728,1.0576561190270365e-73,3.463966716316116e-71
ENSG00000267469,18.063984,3.8747303,6.12389014501425e-73,1.978914687394205e-70
ENSG00000132763,17.77454,3.0978205,1.1130756425571218e-70,3.5034417237681046e-68
ENSG00000272273,17.36368,4.9500184,1.5543339441294494e-67,4.829594547425812e-65
ENSG00000243655,17.349514,3.5666978,1.989225531766229e-67,6.102641770618522e-65
ENSG00000265401,17.290379,2.6702528,5.558670523728382e-67,1.6839992351635135e-64
ENSG00000108515,17.273417,2.9859807,7.459338172892027e-67,2.2319076538050762e-64
ENSG00000198727,17.257221,11.777549,9.875117574002711e-67,2.918699384433289e-64
ENSG00000116044,17.186974,2.8382127,3.324441130873962e-66,9.70736810215197e-64
ENSG00000224875,17.149284,3.520357,6.363088853645387e-66,1.8143037818464658e-63
ENSG00000198865,17.008936,7.5103726,7.050741904102133e-65,1.964158399859992e-62
ENSG00000104129,16.83676,3.8606336,1.312308204675287e-63,3.573606926798905e-61
ENSG00000025770,16.79198,3.6820152,2.793594295567947e-63,7.522839038598307e-61
ENSG00000131981,16.432661,3.0404024,1.1164981486666649e-60,2.94124447077014e-58
ENSG00000158062,16.39265,3.7755356,2.1582154443822312e-60,5.624355861295458e-58
ENSG00000215375,16.244333,2.5405364,2.4498722905741537e-59,6.184906753578665e-57
ENSG00000269821,16.046124,3.3722556,6.08483749422733e-58,1.5203311495885936e-55
ENSG00000243004,15.933002,3.4530144,3.7395990623511734e-57,9.248257436239086e-55
ENSG00000284966,15.751787,5.0888987,6.67674547549896e-56,1.618176033441928e-53
ENSG00000137288,15.566605,3.7936776,1.2275296911823471e-54,2.945585108464888e-52
ENSG00000230021,15.525344,3.4683378,2.3374799610436664e-54,5.554035719201402e-52
ENSG00000124243,15.458691,4.508531,6.59245194727141e-54,1.5362948595583643e-51
ENSG00000266865,15.406734,28.26842,1.4747731366769342e-53,3.309500161157609e-51
ENSG00000163435,15.365553,3.005238,2.786502118356476e-53,6.195749113806198e-51
ENSG00000280486,15.145117,2.2016664,8.160939843546552e-52,1.7503410446742855e-49
ENSG00000213347,14.995707,3.374795,7.832513326473063e-51,1.6506851563513145e-48
ENSG00000189143,14.978902,2.9952772,1.0086948267615115e-50,2.1074765363268962e-48
ENSG00000205277,14.923092,5.1609416,2.3321304335810294e-50,4.830898563099985e-48
ENSG00000115486,14.817094,3.3455458,1.1359318708989818e-49,2.333088544331163e-47
ENSG00000135540,14.758387,4.6866565,2.7170137957047348e-49,5.533575323756299e-47
ENSG00000251279,14.600309,2.2376852,2.795734596672209e-48,5.646451973745638e-46
ENSG00000275454,14.321662,2.2950416,1.6024461666648988e-46,3.1833512537123353e-44
ENSG00000258451,14.203549,2.9704013,8.708783736098162e-46,1.7021458276457665e-43
ENSG00000103740,14.119912,4.320691,2.863489753139291e-45,5.5519630125667085e-43
ENSG00000147687,14.068598,2.6099534,5.923192669199191e-45,1.1303503742575716e-42
ENSG00000214413,14.05273,2.4176795,7.412118640303439e-45,1.403438338799954e-42
ENSG00000198874,13.928226,1.9209483,4.2682412889817707e-44,8.01899968060172e-42
ENSG00000240567,13.913203,3.4732838,5.266709876745381e-44,9.743815310900842e-42
ENSG00000279756,13.847756,6.11142,1.3124827775453506e-43,2.409797923984024e-41
ENSG00000267598,13.80006,2.785646,2.5464007536216837e-43,4.5714495307240834e-41
ENSG00000198786,13.5416765,6.114766,8.873998607873467e-42,1.5698556953315427e-39
ENSG00000256751,13.4235525,4.202287,4.400999609711613e-41,7.729175836302222e-39
ENSG00000048162,13.3619375,2.2666287,1.009029910418947e-40,1.746774922065257e-38
ENSG00000254501,13.354702,3.164944,1.1120218969788734e-40,1.9114157939843954e-38
ENSG00000137496,13.339352,3.4256682,1.3664234118247237e-40,2.332157592181972e-38
ENSG00000153187,13.326289,1.583971,1.6279524042874854e-40,2.759094718203601e-38
ENSG00000259972,13.130062,2.9935222,2.2147522460730667e-39,3.651478601076656e-37
ENSG00000176014,13.04132,4.050509,7.121386748623932e-39,1.1661751975652002e-36
ENSG00000225855,12.989622,3.0156512,1.401165285006671e-38,2.2639094564947784e-36
ENSG00000226963,12.966248,1.4969356,1.9011125466619594e-38,3.051348588139023e-36
ENSG00000135913,12.946131,4.7050834,2.470994039129136e-38,3.939934969232483e-36
ENSG00000228830,12.877438,3.4750574,6.030458040742431e-38,9.490531238664518e-36
ENSG00000179965,12.858887,3.0221946,7.667298514545814e-38,1.1988686890227893e-35
ENSG00000180822,12.848845,5.6302676,8.730416564706601e-38,1.3563485632194178e-35
ENSG00000257950,12.7014065,1.9084622,5.807647521807225e-37,8.797134083657494e-35
ENSG00000249996,12.696492,7.595226,6.18395944772598e-37,9.30897150155819e-35
ENSG00000198886,12.67154,5.5404983,8.502839209161975e-37,1.2720667350200593e-34
ENSG00000267984,12.634078,2.4051654,1.36991201191536e-36,2.036882669986544e-34
ENSG00000270641,12.60482,2.999554,1.9862601140807937e-36,2.9353048856623242e-34
ENSG00000139625,12.394696,3.2280958,2.792028588687445e-35,4.027833623537435e-33
